company_id,company_name,type,rule_id,text,confidence_pct
ABB,Abbott India Ltd,Con,DEFAULT,"No major financial weaknesses detected, continued monitoring recommended.",65
ABB,Abbott India Ltd,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ABB,Abbott India Ltd,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90
ABB,Abbott India Ltd,Pro,P6,Net profit compounding above 20% creates significant shareholder value.,91
ABB,Abbott India Ltd,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,88
ABB,Abbott India Ltd,Pro,P11,Profit growth outpacing revenue suggests improving operating leverage.,84
ADANIENSOL,Adani Energy Solutions Ltd,Con,C1,Debt-to-equity ratio of 2.93 indicates elevated financial leverage.,95
ADANIENSOL,Adani Energy Solutions Ltd,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90
ADANIENSOL,Adani Energy Solutions Ltd,Pro,P4,Revenue growing above 15% CAGR reflects strong business momentum.,90
ADANIENSOL,Adani Energy Solutions Ltd,Pro,P5,Operating margins above 25% indicate strong pricing power and cost discipline.,92
ADANIENT,Adani Enterprises Ltd,Con,C2,Negative free cash flow raises concerns about cash generation quality.,90
ADANIENT,Adani Enterprises Ltd,Pro,P4,Revenue growing above 15% CAGR reflects strong business momentum.,90
ADANIENT,Adani Enterprises Ltd,Pro,P6,Net profit compounding above 20% creates significant shareholder value.,91
ADANIENT,Adani Enterprises Ltd,Pro,P11,Profit growth outpacing revenue suggests improving operating leverage.,84
ADANIGREEN,Adani Green Energy Ltd,Con,C1,Debt-to-equity ratio of 6.60 indicates elevated financial leverage.,95
ADANIGREEN,Adani Green Energy Ltd,Con,C2,Negative free cash flow raises concerns about cash generation quality.,90
ADANIGREEN,Adani Green Energy Ltd,Con,C8,Very high debt levels significantly increase financial leverage risk.,96
ADANIGREEN,Adani Green Energy Ltd,Pro,P4,Revenue growing above 15% CAGR reflects strong business momentum.,90
ADANIGREEN,Adani Green Energy Ltd,Pro,P5,Operating margins above 25% indicate strong pricing power and cost discipline.,92
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Con,DEFAULT,"No major financial weaknesses detected, continued monitoring recommended.",65
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Pro,P4,Revenue growing above 15% CAGR reflects strong business momentum.,90
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Pro,P5,Operating margins above 25% indicate strong pricing power and cost discipline.,92
ADANIPOWER,Adani Power Ltd,Con,DEFAULT,"No major financial weaknesses detected, continued monitoring recommended.",65
ADANIPOWER,Adani Power Ltd,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ADANIPOWER,Adani Power Ltd,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90
ADANIPOWER,Adani Power Ltd,Pro,P4,Revenue growing above 15% CAGR reflects strong business momentum.,90
ADANIPOWER,Adani Power Ltd,Pro,P5,Operating margins above 25% indicate strong pricing power and cost discipline.,92
AMBUJACEM,Ambuja Cements Ltd,Con,C2,Negative free cash flow raises concerns about cash generation quality.,90
AMBUJACEM,Ambuja Cements Ltd,Con,C5,Revenue growth below 5% CAGR indicates weak business momentum.,85
AMBUJACEM,Ambuja Cements Ltd,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,88
AMBUJACEM,Ambuja Cements Ltd,Pro,P11,Profit growth outpacing revenue suggests improving operating leverage.,84
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Con,DEFAULT,"No major financial weaknesses detected, continued monitoring recommended.",65
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Pro,P6,Net profit compounding above 20% creates significant shareholder value.,91
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Pro,P11,Profit growth outpacing revenue suggests improving operating leverage.,84
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Con,DEFAULT,"No major financial weaknesses detected, continued monitoring recommended.",65
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,P6,Net profit compounding above 20% creates significant shareholder value.,91
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,88
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Pro,P11,Profit growth outpacing revenue suggests improving operating leverage.,84
DMART,Avenue Supermarts Ltd,Con,C3,"Operating profit margin is relatively low, indicating pricing or cost pressure.",84
DMART,Avenue Supermarts Ltd,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90
DMART,Avenue Supermarts Ltd,Pro,P4,Revenue growing above 15% CAGR reflects strong business momentum.,90
DMART,Avenue Supermarts Ltd,Pro,P6,Net profit compounding above 20% creates significant shareholder value.,91
DMART,Avenue Supermarts Ltd,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,88
DMART,Avenue Supermarts Ltd,Pro,P11,Profit growth outpacing revenue suggests improving operating leverage.,84
AXISBANK,Axis Bank Ltd,Con,C1,Debt-to-equity ratio of 8.25 indicates elevated financial leverage.,95
AXISBANK,Axis Bank Ltd,Con,C2,Negative free cash flow raises concerns about cash generation quality.,90
AXISBANK,Axis Bank Ltd,Con,C8,Very high debt levels significantly increase financial leverage risk.,96
AXISBANK,Axis Bank Ltd,Con,C10,Return on capital employed below 10% indicates weak capital efficiency.,90
AXISBANK,Axis Bank Ltd,Con,C11,Weak cash flow quality suggests lower earnings reliability.,87
AXISBANK,Axis Bank Ltd,Pro,P5,Operating margins above 25% indicate strong pricing power and cost discipline.,92
AXISBANK,Axis Bank Ltd,Pro,P6,Net profit compounding above 20% creates significant shareholder value.,91
AXISBANK,Axis Bank Ltd,Pro,P11,Profit growth outpacing revenue suggests improving operating leverage.,84
BAJAJ-AUTO,Bajaj Auto Ltd,Con,DEFAULT,"No major financial weaknesses detected, continued monitoring recommended.",65
BAJAJ-AUTO,Bajaj Auto Ltd,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJAJ-AUTO,Bajaj Auto Ltd,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90
BAJAJ-AUTO,Bajaj Auto Ltd,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,88
BAJAJ-AUTO,Bajaj Auto Ltd,Pro,P11,Profit growth outpacing revenue suggests improving operating leverage.,84
BAJFINANCE,Bajaj Finance Ltd,Con,C1,Debt-to-equity ratio of 3.82 indicates elevated financial leverage.,95
BAJFINANCE,Bajaj Finance Ltd,Con,C2,Negative free cash flow raises concerns about cash generation quality.,90
BAJFINANCE,Bajaj Finance Ltd,Con,C10,Return on capital employed below 10% indicates weak capital efficiency.,90
BAJFINANCE,Bajaj Finance Ltd,Con,C11,Weak cash flow quality suggests lower earnings reliability.,87
BAJFINANCE,Bajaj Finance Ltd,Pro,P4,Revenue growing above 15% CAGR reflects strong business momentum.,90
BAJFINANCE,Bajaj Finance Ltd,Pro,P5,Operating margins above 25% indicate strong pricing power and cost discipline.,92
BAJFINANCE,Bajaj Finance Ltd,Pro,P6,Net profit compounding above 20% creates significant shareholder value.,91
BAJFINANCE,Bajaj Finance Ltd,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,88
BAJFINANCE,Bajaj Finance Ltd,Pro,P11,Profit growth outpacing revenue suggests improving operating leverage.,84
BAJAJFINSV,Bajaj Finserv Ltd,Con,C1,Debt-to-equity ratio of 4.79 indicates elevated financial leverage.,95
BAJAJFINSV,Bajaj Finserv Ltd,Con,C2,Negative free cash flow raises concerns about cash generation quality.,90
BAJAJFINSV,Bajaj Finserv Ltd,Con,C8,Very high debt levels significantly increase financial leverage risk.,96
BAJAJFINSV,Bajaj Finserv Ltd,Con,C11,Weak cash flow quality suggests lower earnings reliability.,87
BAJAJFINSV,Bajaj Finserv Ltd,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJAJFINSV,Bajaj Finserv Ltd,Pro,P4,Revenue growing above 15% CAGR reflects strong business momentum.,90
BAJAJFINSV,Bajaj Finserv Ltd,Pro,P5,Operating margins above 25% indicate strong pricing power and cost discipline.,92
BAJAJFINSV,Bajaj Finserv Ltd,Pro,P6,Net profit compounding above 20% creates significant shareholder value.,91
BAJAJFINSV,Bajaj Finserv Ltd,Pro,P11,Profit growth outpacing revenue suggests improving operating leverage.,84
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Con,C11,Weak cash flow quality suggests lower earnings reliability.,87
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,P2,Strong free cash flow generation signals healthy business fundamentals.,90
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,P3,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,P4,Revenue growing above 15% CAGR reflects strong business momentum.,90
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,P5,Operating margins above 25% indicate strong pricing power and cost discipline.,92
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,88
BANKBARODA,Bank of Baroda,Con,C1,Debt-to-equity ratio of 12.14 indicates elevated financial leverage.,95
BANKBARODA,Bank of Baroda,Con,C2,Negative free cash flow raises concerns about cash generation quality.,90
BANKBARODA,Bank of Baroda,Con,C8,Very high debt levels significantly increase financial leverage risk.,96
BANKBARODA,Bank of Baroda,Con,C10,Return on capital employed below 10% indicates weak capital efficiency.,90
BANKBARODA,Bank of Baroda,Con,C11,Weak cash flow quality suggests lower earnings reliability.,87
BANKBARODA,Bank of Baroda,Pro,P4,Revenue growing above 15% CAGR reflects strong business momentum.,90
BANKBARODA,Bank of Baroda,Pro,P5,Operating margins above 25% indicate strong pricing power and cost discipline.,92
BANKBARODA,Bank of Baroda,Pro,P6,Net profit compounding above 20% creates significant shareholder value.,91
BANKBARODA,Bank of Baroda,Pro,P11,Profit growth outpacing revenue suggests improving operating leverage.,84
BEL,Bharat Electronics Ltd,Con,C2,Negative free cash flow raises concerns about cash generation quality.,90
BEL,Bharat Electronics Ltd,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BEL,Bharat Electronics Ltd,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,88
BEL,Bharat Electronics Ltd,Pro,P11,Profit growth outpacing revenue suggests improving operating leverage.,84
BHEL,"Bharat Heavy Electricals Limited
",Con,C2,Negative free cash flow raises concerns about cash generation quality.,90
